"rq_dist"	"bp_dist"	"t_start_dist"	"t_run_dist"	"b_div"	"mean_SSR_day5"	"mean_SSR_day6"	"mean_SSR_day7"	"mean_SSR_day8"	"total_SSR"	"mean_SSR_day5_exsmall"	"mean_SSR_day6_exsmall"	"mean_SSR_day7_exsmall"	"mean_SSR_day8_exsmall"	"total_SSR_exsmall"
"1"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"rnorm(1, mean = 3, sd = 0.2)"	"sample(c(1,2,3,4), families, replace = TRUE)"	2233.87978960907	2071.26481858711	6970.09039751067	7285.14465275167	18560.3796584585	2138.33557596642	1750.2993571142	3039.64097272432	3301.70488789958	10229.9807937045
"2"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"rnorm(1, mean = 3, sd = 0.2)"	"sample(c(2,3,4), families, replace = TRUE)"	9451.03742507705	5383.48991035429	3020.73907047513	3749.87235008937	21605.1387559958	3637.79370404523	2796.21794652165	3018.26018100143	3744.41845632555	13196.6902878939
"3"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"rnorm(1, mean = 3, sd = 0.2)"	"rep(3, families)"	22090.0866861608	10107.9210849741	3441.01010061458	7889.32797830048	43528.34585005	16310.7038025674	7520.64912114147	3438.53121114088	7883.87408453666	35153.7582193864
"4"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"rnorm(1, mean = 3, sd = 0.2)"	"sample(c(2,3), families, replace = TRUE)"	11214.6889029096	6446.60711014453	4626.9678154144	4191.17944957559	26479.4432780441	5664.97104394671	3934.38299633811	4624.4889259407	4185.72555581177	18409.5685220373
"5"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"rlnorm(1, meanlog = 1, sdlog = 0.3)"	"sample(c(1,2,3,4), families, replace = TRUE)"	1666.17658763862	2217.49908707164	6892.80845868926	6330.46342902444	17106.947562424	1548.33311291223	2055.8812920906	3122.17291154574	2174.61205744652	8900.99937399508
"6"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"rlnorm(1, meanlog = 1, sdlog = 0.3)"	"sample(c(2,3,4), families, replace = TRUE)"	9747.99801621005	6100.86130521532	2765.37334847783	1528.4581744705	20142.6908443737	4231.64099468563	3686.86765811053	2762.89445900413	1523.00428070668	12204.407392507
"7"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"rlnorm(1, meanlog = 1, sdlog = 0.3)"	"rep(3, families)"	23384.7627945352	11354.0618820376	2774.33095081701	4245.39827255551	41758.5538999452	17457.9365611881	8867.52038490654	2771.85206134331	4239.94437879168	33337.2533862296
"8"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"rlnorm(1, meanlog = 1, sdlog = 0.3)"	"sample(c(2,3), families, replace = TRUE)"	11445.9733856682	7279.07171423473	4990.86052796501	3097.06093019212	26812.96655806	5164.39961537528	4839.89545045453	4988.38163849131	3091.6070364283	18084.2837407494
"9"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"3"	"sample(c(1,2,3,4), families, replace = TRUE)"	2178.85639059429	2561.5280592793	6875.3285891436	6903.33778680118	18519.0508258184	2133.36882719794	2234.61044783261	2838.02806224299	2735.40409387809	9941.41143115163
"10"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"3"	"sample(c(2,3,4), families, replace = TRUE)"	9405.61870586522	5136.23938597044	3260.29485095196	3992.08533467601	21794.2382774636	3479.29247251814	2649.19788883942	3257.81596147826	3986.63144091219	13372.937763748
"11"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"3"	"rep(3, families)"	24100.4549127618	9747.41020400924	3258.43632643554	7511.9382071655	44618.2396503721	17895.1028173457	7210.50347352741	3255.95743696184	7506.48431340168	35868.0480412367
"12"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.25, sdlog = 0.2)"	"3"	"sample(c(2,3), families, replace = TRUE)"	10411.9943216288	6694.45818513142	4353.45746903563	3552.02811842192	25011.9380942178	5137.16316217331	4157.5514546496	4350.97857956193	3546.5742246581	17192.2674210429
